date, pm25, pm10, o3, no2, so2, co
2021/6/1, 43, 36, , 49, 4, 10
2021/6/2, 48, , , , , 
2021/6/5, 44, 50, , 34, 3, 8
2021/6/6, 76, 50, , 43, 4, 19
2021/6/7, 61, 42, , 46, 4, 17
2021/6/8, 53, 45, , 48, 5, 
2021/6/9, 53, 48, , 46, 4, 
2021/6/10, 60, 37, , 40, 3, 
2021/6/11, 53, 46, , 47, 4, 
2021/6/12, 64, 54, , 48, 4, 
2021/6/13, 70, 56, , 54, 4, 
2021/6/14, 73, 55, , 45, 4, 
2021/6/15, 66, 53, , 48, 4, 
2021/6/16, 68, , , , , 
2021/5/1, 70, 40, , 20, 3, 8
2021/5/2, 63, 30, , 28, 3, 10
2021/5/3, 57, 24, , 31, 3, 9
2021/5/4, 57, 40, , 41, 4, 13
2021/5/5, 68, 36, , 25, 3, 8
2021/5/6, 64, 36, , 29, 3, 9
2021/5/7, 76, 32, , 26, 3, 8
2021/5/8, 70, 37, , 39, 3, 12
2021/5/9, 63, 43, , 37, 4, 10
2021/5/10, 64, 34, , 25, 2, 12
2021/5/11, 53, 41, , 27, 2, 17
2021/5/12, 71, 37, , 23, 3, 7
2021/5/13, 71, 32, , 24, 2, 7
2021/5/14, 56, 26, , 27, 3, 8
2021/5/15, 58, 30, , 29, 3, 8
2021/5/16, 48, 40, , 33, 3, 9
2021/5/17, 65, 50, , 33, 3, 10
2021/5/18, 67, 53, , 38, 4, 13
2021/5/19, 67, 38, , 31, 3, 10
2021/5/20, 61, 39, , 34, 3, 9
2021/5/21, 59, 37, , 32, 3, 9
2021/5/22, 61, 44, , 31, 3, 7
2021/5/23, 59, 51, , 34, 3, 7
2021/5/24, 69, 52, , 31, 3, 5
2021/5/25, 90, 45, , 25, 3, 4
2021/5/26, 68, 41, , 33, 3, 5
2021/5/27, 59, 33, , 32, 3, 5
2021/5/28, 57, 34, , 35, 3, 6
2021/5/29, 57, 38, , 38, 4, 6
2021/5/30, 54, 38, , 38, 4, 9
2021/5/31, 52, 30, , 38, 3, 5
2021/4/1, 62, 54, , 28, 3, 3
2021/4/2, 75, 48, , 28, 3, 3
2021/4/3, 60, 27, , 32, 3, 4
2021/4/4, 45, 40, , 38, 4, 3
2021/4/5, 55, 45, , 45, 4, 4
2021/4/6, 60, 68, , 42, 5, 4
2021/4/7, 87, 70, , 43, 8, 3
2021/4/8, 88, 65, , 33, 4, 3
2021/4/9, 96, 62, , 28, 3, 3
2021/4/10, 85, 59, , 22, 3, 3
2021/4/11, 81, 42, , 25, 3, 3
2021/4/12, 65, 53, , 31, 3, 3
2021/4/13, 72, 61, , 31, 4, 3
2021/4/14, 65, 36, , 26, 3, 3
2021/4/15, 53, 37, , 29, 3, 3
2021/4/16, 58, 36, , 33, 3, 3
2021/4/17, 50, 52, , 44, 4, 4
2021/4/18, 70, 50, , 42, 4, 4
2021/4/19, 61, 59, , 47, 5, 4
2021/4/20, 72, 61, , 37, 4, 3
2021/4/21, 82, 52, , 26, 3, 9
2021/4/22, 71, 63, , 22, 3, 8
2021/4/23, 73, 46, , 25, 3, 10
2021/4/24, 65, 38, , 23, 3, 10
2021/4/25, 53, 50, , 25, 3, 10
2021/4/26, 69, 57, , 24, 3, 10
2021/4/27, 70, 48, , 25, 3, 9
2021/4/28, 69, 46, , 26, 3, 11
2021/4/29, 73, 29, , 24, 3, 19
2021/4/30, 62, 40, , 26, 3, 17
2021/3/1, 75, 47, , 49, 5, 5
2021/3/2, 72, 30, , 35, 3, 5
2021/3/3, 60, 30, , 38, 4, 4
2021/3/4, 56, 26, , 29, 3, 4
2021/3/5, 48, 26, , 45, 5, 13
2021/3/6, 52, 36, , 48, 5, 5
2021/3/7, 62, 38, , 47, 6, 5
2021/3/8, 50, 40, , 37, 5, 3
2021/3/9, 63, 37, , 31, 6, 4
2021/3/10, 64, 49, , 42, 4, 4
2021/3/11, 74, 33, , 32, 3, 4
2021/3/12, 58, 22, , 42, 2, 4
2021/3/13, 49, 46, , 57, 4, 5
