date, pm25, no2, so2, co
2021/6/1, 77, , , 
2021/6/2, 71, , , 
2021/6/5, 67, , , 
2021/6/6, 80, , , 
2021/6/7, 69, , , 
2021/6/8, 66, , , 
2021/6/9, 69, , , 
2021/6/10, 67, , , 
2021/6/11, 62, , , 
2021/6/12, 76, , , 
2021/6/13, 88, , , 
2021/6/14, 90, , , 
2021/5/1, 61, , , 
2021/5/2, 52, , , 
2021/5/3, 51, , , 
2021/5/4, 51, , , 
2021/5/5, 62, , , 
2021/5/6, 52, , , 
2021/5/7, 58, , , 
2021/5/8, 58, , , 
2021/5/9, 54, , , 
2021/5/10, 68, , , 
2021/5/11, 52, , , 
2021/5/12, 65, , , 
2021/5/13, 64, , , 
2021/5/14, 60, , , 
2021/5/15, 53, , , 
2021/5/16, 42, , , 
2021/5/17, 55, , , 
2021/5/18, 61, , , 
2021/5/19, 95, , , 
2021/5/20, 66, , , 
2021/5/21, 51, , , 
2021/5/22, 45, , , 
2021/5/23, 78, , , 
2021/5/24, 75, , , 
2021/5/25, 86, , , 
2021/5/26, 67, , , 
2021/5/27, 64, , , 
2021/5/28, 65, , , 
2021/5/29, 56, , , 
2021/5/30, 59, , , 
2021/5/31, 70, , , 
2021/4/3, 77, , , 
2021/4/4, 50, , , 
2021/4/5, 63, , , 
2021/4/6, 76, , , 
2021/4/7, 116, , , 
2021/4/8, 120, , , 
2021/4/9, 111, , , 
2021/4/10, 110, , , 
2021/4/11, 89, , , 
2021/4/12, 68, , , 
2021/4/13, 74, , , 
2021/4/14, 77, , , 
2021/4/15, 57, , , 
2021/4/16, 62, , , 
2021/4/17, 62, , , 
2021/4/18, 64, , , 
2021/4/19, 66, , , 
2021/4/20, 79, , , 
2021/4/21, 76, , , 
2021/4/22, 69, , , 
2021/4/23, 83, , , 
2021/4/24, 84, , , 
2021/4/25, 57, , , 
2021/4/26, 71, , , 
2021/4/27, 75, , , 
2021/4/28, 77, , , 
2021/4/29, 59, , , 
2021/4/30, 60, , , 
