date, pm25, pm10, o3, no2, so2, co
2021/6/1, 70, 63, , 50, 8, 12
2021/6/2, 73, , , , , 
2021/6/5, 67, 66, , 27, 5, 7
2021/6/6, 73, 77, , 35, 6, 10
2021/6/7, 71, 67, , 49, 9, 13
2021/6/8, 95, 72, , 56, 13, 20
2021/6/9, 86, 70, , 52, 9, 14
2021/6/10, 80, 57, , 32, 5, 8
2021/6/11, 58, 72, , 53, 14, 18
2021/6/12, 84, 84, , 59, 12, 20
2021/6/13, 131, 81, , 37, 6, 10
2021/6/14, 83, 80, , 51, 10, 15
2021/6/15, 93, 105, , 91, 13, 27
2021/6/16, 134, , , , , 
2021/5/1, 85, 51, , 26, 8, 7
2021/5/2, 78, 45, , 30, 6, 9
2021/5/3, 66, 39, , 23, 5, 6
2021/5/4, 68, 51, , 34, 12, 9
2021/5/5, 87, 53, , 34, 6, 9
2021/5/6, 72, 54, , 33, 5, 10
2021/5/7, 83, 54, , 34, 6, 10
2021/5/8, 79, 54, , 37, 7, 8
2021/5/9, 79, 70, , 51, 8, 15
2021/5/10, 90, 53, , 32, 6, 9
2021/5/11, 83, 66, , 32, 5, 10
2021/5/12, 90, 55, , 28, 5, 8
2021/5/13, 88, 53, , 28, 4, 8
2021/5/14, 83, 56, , 41, 7, 13
2021/5/15, 99, 57, , 42, 7, 13
2021/5/16, 79, 62, , 49, 8, 17
2021/5/17, 88, 70, , 48, 7, 15
2021/5/18, 93, 75, , 35, 8, 12
2021/5/19, 81, 55, , 39, 9, 14
2021/5/20, 65, 57, , 42, 10, 15
2021/5/21, 68, 55, , 45, 8, 17
2021/5/22, 64, 78, , 44, 9, 15
2021/5/23, 82, 69, , 34, 6, 10
2021/5/24, 87, 79, , 38, 8, 11
2021/5/25, 88, 63, , 34, 6, 12
2021/5/26, 79, 55, , 34, 6, 10
2021/5/27, 76, 50, , 41, 9, 14
2021/5/28, 73, 62, , 57, 10, 23
2021/5/29, 78, 58, , 48, 8, 15
2021/5/30, 71, 60, , 39, 7, 10
2021/5/31, 66, 59, , 44, 8, 14
2021/4/1, 77, 68, , 38, 8, 17
2021/4/2, 85, 70, , 32, 5, 13
2021/4/3, 72, 41, , 30, 3, 9
2021/4/4, 56, 59, , 48, 9, 17
2021/4/5, 77, 70, , 38, 7, 12
2021/4/6, 77, 95, , 45, 12, 17
2021/4/7, 120, 95, , 55, 11, 25
2021/4/8, 129, 75, , 32, 5, 10
2021/4/9, 96, 90, , 47, 8, 17
2021/4/10, 107, 76, , 32, 5, 11
2021/4/11, 93, 62, , 32, 5, 11
2021/4/12, 76, 74, , 41, 8, 15
2021/4/13, 88, 75, , 35, 6, 11
2021/4/14, 88, 52, , 34, 5, 10
2021/4/15, 69, 56, , 34, 9, 9
2021/4/16, 77, 61, , 39, 6, 10
2021/4/17, 75, 67, , 53, 7, 15
2021/4/18, 85, 74, , 49, 9, 16
2021/4/19, 83, 73, , 44, 12, 14
2021/4/20, 92, 77, , 53, 12, 20
2021/4/21, 104, 77, , 40, 10, 15
2021/4/22, 92, 87, , 29, 5, 8
2021/4/23, 89, 73, , 35, 7, 12
2021/4/24, 89, 54, , 34, 6, 12
2021/4/25, 72, 73, , 35, 7, 12
2021/4/26, 98, 81, , 33, 6, 11
2021/4/27, 95, 68, , 29, 5, 8
2021/4/28, 85, 55, , 27, 5, 8
2021/4/29, 87, 57, , 33, 7, 10
2021/4/30, 90, 64, , 43, 9, 13
2021/3/1, 125, 67, , 48, 15, 17
2021/3/2, 94, 54, , 41, 13, 15
2021/3/3, 74, 52, , 38, 13, 11
2021/3/4, 77, 47, , 28, 10, 7
2021/3/5, 59, 38, , 33, 15, 11
2021/3/6, 50, 61, , 46, 22, 18
2021/3/7, 85, 75, , 51, 23, 19
2021/3/8, 115, 64, , 57, 16, 13
2021/3/9, 86, 55, , , 17, 9
2021/3/10, 67, 66, , , 19, 17
2021/3/11, 93, 44, , , 12, 14
2021/3/12, 65, 32, , , 12, 10
2021/3/13, 50, 70, , , 17, 15
2021/3/14, 125, 89, , 72, 18, 16
2021/3/15, 154, 92, , 65, 14, 17
2021/3/16, 152, 117, , 52, 12, 26
2021/3/17, 147, 94, , 49, 11, 21
2021/3/18, 113, 49, , 32, 4, 7
2021/3/19, 60, 33, , 22, 3, 6
2021/3/20, 39, 26, , 33, 3, 10
2021/3/21, 35, 47, , 33, 5, 11
2021/3/22, 60, 67, , 24, 3, 8
2021/3/23, 79, 81, , 35, 6, 14
2021/3/24, 93, 106, , 24, 5, 10
2021/3/25, 125, 97, , 23, 2, 6
2021/3/26, 95, 115, , 25, 4, 7
2021/3/27, 113, 36, , 19, 3, 5
2021/3/28, 29, 53, , 28, 6, 7
2021/3/29, 57, 59, , 39, 6, 11
2021/3/30, 62, 54, , 43, 6, 12
2021/3/31, 61, 62, , 49, 13, 13
2021/2/1, 79, 70, , 68, 16, 28
2021/2/2, 114, 94, , 86, 21, 32
2021/2/3, 155, 83, , 73, 15, 26
2021/2/4, 144, 79, , 64, 15, 
2021/2/5, 140, 39, , 36, 9, 
2021/2/6, 62, 61, , 54, 15, 26
2021/2/7, 113, 86, , 61, 21, 37
2021/2/8, 150, 80, , 64, 18, 37
2021/2/9, 115, 66, , 48, 17, 22
2021/2/10, 81, 67, , 66, 15, 33
2021/2/11, 103, 55, , , 10, 
2021/2/12, 77, 62, , , 14, 
2021/2/13, 85, 67, , 65, 13, 21
2021/2/14, 88, 73, , 68, 15, 33
2021/2/15, 106, 89, , 76, 19, 30
2021/2/16, 131, 79, , 57, 14, 17
2021/2/17, 91, 41, , 40, 6, 13
2021/2/18, 56, 39, , 26, 6, 6
2021/2/19, 45, 44, , 44, 10, 14
2021/2/20, 57, 49, , 41, 11, 16
2021/2/21, 68, 59, , 47, 13, 21
2021/2/22, 75, 61, , 39, 13, 14
2021/2/23, 65, 59, , 37, 13, 13
2021/2/24, 65, 69, , 32, 8, 9
2021/2/25, 66, 70, , 34, 8, 9
2021/2/26, 72, 79, , 49, 14, 18
2021/2/27, 109, 78, , 56, 15, 19
2021/2/28, 118, 82, , 61, 19, 23
2021/1/4, 105, 67, , 47, 12, 18
2021/1/5, 105, 87, , 60, 17, 25
2021/1/6, 150, 101, , 64, 23, 21
2021/1/7, 163, 88, , 61, 15, 20
2021/1/8, 161, 100, , 71, 15, 27
2021/1/9, 167, 116, , 84, 20, 33
2021/1/10, 172, 143, , 91, 29, 36
2021/1/11, 186, 128, , 83, 25, 27
2021/1/12, 181, 128, , 84, 23, 28
2021/1/13, 181, 116, , 79, 25, 25
2021/1/14, 173, 85, , 67, 18, 20
2021/1/15, 150, 72, , 61, 15, 27
2021/1/16, 102, 84, , 65, 17, 28
2021/1/17, 133, 69, , 59, 14, 22
2021/1/18, 92, 59, , 48, 9, 17
2021/1/19, 75, 69, , 58, 21, 24
2021/1/20, 100, 47, , 35, 8, 10
2021/1/21, 58, 37, , 34, 8, 10
2021/1/22, 56, 59, , 39, 10, 13
2021/1/23, 76, 71, , 62, 13, 22
2021/1/24, 107, 100, , 82, 23, 25
2021/1/25, 150, 88, , 70, 24, 29
2021/1/26, 128, 101, , 81, 22, 30
2021/1/27, 152, 103, , 76, 32, 30
2021/1/28, 153, 78, , 69, 20, 20
2021/1/29, 132, 56, , 71, 3, 15
2021/1/30, 78, 37, , 44, 10, 9
2021/1/31, 48, 53, , 47, 15, 18
2020/11/7, 105, 54, , 29, 3, 10
2020/11/8, 62, 62, , 41, 11, 15
2020/11/9, 81, 75, , 55, 9, 19
2020/11/10, 113, 65, , 45, 8, 22
2020/11/11, 112, 58, , 38, 9, 15
2020/11/12, 99, 35, , 29, 5, 9
2020/11/13, 65, 49, , 37, 8, 14
2020/11/14, 82, 62, , 41, 9, 15
2020/11/15, 110, 60, , 43, 14, 16
2020/11/16, 93, 53, , 46, 11, 14
2020/11/17, 83, 68, , 46, 14, 22
2020/11/18, 116, 59, , 41, 12, 13
2020/11/19, 87, 40, , 31, 14, 7
2020/11/20, 67, 42, , 42, 7, 17
2020/11/21, 86, 39, , 36, 7, 14
2020/11/22, 74, 66, , 37, 36, 16
2020/11/23, 125, 69, , 38, 20, 15
2020/11/24, 125, 69, , 37, 9, 12
2020/11/25, 140, 92, , 48, 27, 14
2020/11/26, 162, 58, , 43, 9, 17
2020/11/27, 110, 60, , 42, 23, 17
2020/11/28, 97, 37, , 40, 11, 13
2020/11/29, 78, 57, , 45, 13, 21
2020/11/30, 104, 94, , 58, 13, 27
2020/12/1, 158, 120, , 69, 15, 33
2020/12/2, 175, 85, , 53, 13, 24
2020/12/3, 161, 65, , 42, 22, 20
2020/12/4, 128, 79, , 49, 23, 21
2020/12/5, 151, 38, , 38, 12, 10
2020/12/6, 76, 36, , 45, 9, 23
2020/12/7, 75, 70, , 59, 18, 30
2020/12/8, 122, 95, , 78, 21, 32
2020/12/9, 154, 84, , 67, 18, 26
2020/12/10, 138, 62, , 47, 11, 14
2020/12/11, 110, 60, , 49, 17, 21
2020/12/12, 97, 85, , 55, 24, 20
2020/12/13, 153, 106, , 63, 17, 23
2020/12/14, 162, 72, , 55, 12, 12
2020/12/15, 127, , , , , 
2020/12/21, 129, 96, , 60, 27, 27
2020/12/22, 161, 95, , 57, 40, 19
2020/12/23, 163, 71, , 60, 10, 22
2020/12/24, 147, 27, , 26, 2, 7
2020/12/25, 45, 55, , 44, 11, 23
2020/12/26, 83, 97, , 63, 28, 29
2020/12/27, 159, 97, , 66, 20, 33
2020/12/28, 159, 117, , 72, 38, 32
