date, pm25, no2, so2, co
2021/6/1, 62, 29, 16, 36
2021/6/2, 77, , , 
2021/6/5, 69, 22, 28, 22
2021/6/6, 82, 21, 31, 38
2021/6/7, 76, 26, 26, 39
2021/6/8, 76, 27, 32, 36
2021/6/9, 79, 26, 30, 41
2021/6/10, 87, 20, 33, 35
2021/6/11, 70, 26, 39, 42
2021/6/12, 89, 31, 38, 44
2021/6/13, 114, 20, 18, 16
2021/6/14, 78, 22, 17, 16
2021/6/15, 93, 24, 19, 19
2021/6/16, 108, , , 
2021/5/1, 70, 18, 15, 51
2021/5/2, 52, 20, 16, 31
2021/5/3, 53, 17, 15, 36
2021/5/4, 54, 22, 21, 53
2021/5/5, 68, 19, 17, 40
2021/5/6, 56, 19, 16, 42
2021/5/7, 51, 20, 17, 29
2021/5/8, 62, 23, 18, 24
2021/5/9, 57, 27, 18, 21
2021/5/10, 61, 20, 13, 17
2021/5/11, 66, 21, 16, 18
2021/5/12, 79, 17, 15, 19
2021/5/13, 82, 18, 14, 36
2021/5/14, 63, 21, 16, 36
2021/5/15, 61, 22, 16, 24
2021/5/16, 62, 25, 18, 25
2021/5/17, 85, 23, 17, 33
2021/5/18, 75, 22, 19, 28
2021/5/19, 87, 23, 15, 23
2021/5/20, 70, 24, 16, 24
2021/5/21, 74, 25, 15, 30
2021/5/22, 62, 25, 16, 47
2021/5/23, 88, 22, 10, 27
2021/5/24, 88, 22, 17, 37
2021/5/25, 86, 21, 15, 30
2021/5/26, 79, 21, 14, 34
2021/5/27, 71, 24, 16, 39
2021/5/28, 67, 28, 16, 33
2021/5/29, 78, 28, 25, 41
2021/5/30, 74, 27, 20, 59
2021/5/31, 74, 26, 26, 32
2021/4/1, 71, 21, 17, 24
2021/4/2, 72, 16, 14, 27
2021/4/3, 72, 18, 15, 29
2021/4/4, 56, 21, 17, 28
2021/4/5, 57, 23, 17, 35
2021/4/6, 72, 23, 21, 31
2021/4/7, 105, 26, 20, 49
2021/4/8, 121, 20, 14, 36
2021/4/9, 105, 22, 17, 32
2021/4/10, 109, 17, 15, 39
2021/4/11, 88, 17, 16, 40
2021/4/12, 76, 20, 16, 31
2021/4/13, 83, 19, 16, 42
2021/4/14, 85, 19, 14, 48
2021/4/15, 70, 18, 15, 38
2021/4/16, 64, 20, 17, 35
2021/4/17, 72, 24, 17, 30
2021/4/18, 81, 25, 17, 27
2021/4/19, 84, 23, 18, 26
2021/4/20, 98, 24, 18, 25
2021/4/21, 106, 20, 12, 35
2021/4/22, 87, 17, 16, 43
2021/4/23, 94, 19, 17, 43
2021/4/24, 85, 18, 15, 52
2021/4/25, 67, 19, 19, 40
2021/4/26, 82, 18, 14, 31
2021/4/27, 89, 17, 15, 30
2021/4/28, 88, 18, 17, 27
2021/4/29, 73, 20, 14, 39
2021/4/30, 64, 21, 17, 65
2021/3/1, 112, 27, 18, 42
2021/3/2, 87, 23, 15, 36
2021/3/3, 64, 22, 17, 36
2021/3/4, 73, 20, 16, 37
2021/3/5, 56, 23, 20, 28
2021/3/6, 63, 25, 25, 36
2021/3/7, 77, 26, 24, 30
2021/3/8, 85, 21, 18, 29
2021/3/9, 74, 19, 19, 26
2021/3/10, 64, 23, 23, 37
2021/3/11, 90, 20, 15, 28
2021/3/12, 64, 21, 15, 23
2021/3/13, 60, 25, 20, 39
2021/3/14, 127, 29, 26, 41
2021/3/15, 155, 30, 29, 28
2021/3/16, 127, 23, 19, 25
2021/3/17, 124, 24, 19, 27
2021/3/18, 105, 15, 12, 28
2021/3/19, 45, 15, 15, 31
2021/3/20, 33, 19, 16, 35
2021/3/21, 29, 18, 16, 43
