date,temp_avg,temp_min,temp_max,,,wind_direction,wind_speed,,pressure,
2005-04-21,22.5,16,28,,,304.6,19.2,,,
2005-04-24,25.3,15.0,34.0,,,253.6,15.6,,,
2005-04-29,20.6,13.0,25.0,,,293.3,19.1,,,
2005-05-05,18.6,12.0,24.0,,,287,18.3,,,
2005-05-10,23.7,16.0,31.0,,,290.8,25.1,,,
2005-05-15,24.1,17.0,31.0,,,,18.5,,,
2005-05-16,21.5,14.0,28.0,,,0,23.4,,,
2005-05-18,22.0,17.0,27.0,,,328.7,26.1,,,
2005-05-21,18.8,13.0,24.0,,,324.6,26.4,,,
2005-05-24,22.7,16.0,29.0,,,,19.4,,,
2005-05-25,23.2,17.0,29.0,,,294.4,20.1,,,
2005-05-26,23.4,16.0,31.0,,,,17.0,,,
2005-05-27,25.0,17.0,32.0,,,,16.2,,,
2005-05-29,24.2,18.0,31.0,,,39.4,17.4,,,
2005-09-12,27.7,18.0,37.0,,,36.7,15.5,,,
2005-09-13,26.9,20.0,36.0,,,315.2,26.9,,,
2005-10-11,22.2,14.0,31.0,,,324,14.7,,,
2005-10-21,20.5,13.0,27.0,,,301.7,21.2,,,
2005-10-22,15.3,10.0,25.0,,,310.3,30.0,,,
2005-10-23,13.1,8.0,20.0,,,312.4,36.5,,,
2005-10-28,13.6,5.0,25.0,,,301.2,11.1,,,
2005-11-10,6.6,5.0,10.0,,,339.8,17.8,,,
2005-12-09,8.8,2.0,18.0,,,,11.6,,,
2005-12-10,8.9,3.0,17.0,,,,16.2,,,
2005-12-15,6.3,1.0,14.0,,,285.5,11.1,,,
2005-12-22,7.8,2.0,15.0,,,,,,,
2005-12-25,7.9,3.0,11.0,,,99.3,14.7,,,
2005-12-28,1.9,-2.0,7.0,,,,12.9,,,
2006-01-05,2.5,-2.0,10.0,,,,12.9,,,
2006-01-09,3.1,-2.0,7.0,,,312.3,23.9,,,
2006-02-20,6.5,2.0,12.0,,,301.1,25.4,,,
2006-02-25,8.9,-1.0,19.0,,,290,15.3,,,
2006-03-22,11.5,4.0,19.0,,,316.9,19.4,,,
2006-03-23,12.0,6.0,19.0,,,302.6,31.7,,,
2006-03-24,12.8,5.0,20.0,,,291.9,23.0,,,
2006-03-28,13.9,11.0,19.0,,,,21.6,,,
2006-03-29,11.0,9.0,14.0,,,286.6,16.4,,,
2006-04-04,16.3,10.0,22.0,,,286.8,19.8,,,
2006-04-12,19.2,13.0,25.0,,,,16.2,,,
2006-04-13,20.1,13.0,27.0,,,,15.9,,,
2006-04-20,18.9,11.0,27.0,,,314.4,16.4,,,
2006-04-21,20.8,12.0,28.0,,,34.7,12.9,,,
2006-05-05,21.0,17.0,27.0,,,299.3,26.4,,,
2006-05-07,23.5,16.0,31.0,,,311.3,24.5,,,
2006-05-11,25.8,20.0,32.0,,,311.6,30.4,,,
2006-05-12,26.2,17.0,34.0,,,323.2,20.0,,,
2006-05-13,27.8,23.0,35.0,,,334.8,23.6,,,
